# entry decomposition q=3 L=2: for each nonzero Lmat[src,dst], the (da,db) move-pairs and w-products
# src(e_rho,gamma)	dst(e_rho,gamma)	entry	(da,db):wprod ...
(4,7)	(1,5)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
(4,7)	(3,3)	0.029982363	(1,2):0.0215 (2,3):0.00537499 (3,4):0.00134375 (4,5):0.000335937 (5,6):8.39842e-05 (6,1):0.00134375
(4,7)	(3,4)	0.029982363	(1,2):0.0215 (2,3):0.00537499 (3,4):0.00134375 (4,5):0.000335937 (5,6):8.39842e-05 (6,1):0.00134375
(4,7)	(3,5)	0.029982363	(1,2):0.0215 (2,3):0.00537499 (3,4):0.00134375 (4,5):0.000335937 (5,6):8.39842e-05 (6,1):0.00134375
(4,7)	(5,3)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(4,7)	(5,4)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(4,7)	(5,5)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(4,8)	(1,3)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
(4,8)	(1,4)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
(4,8)	(1,5)	0.014109347	(1,4):0.00537499 (2,5):0.00134375 (3,6):0.000335937 (4,1):0.00537499 (5,2):0.00134375 (6,3):0.000335937
(4,8)	(3,3)	0.029982363	(1,2):0.0215 (2,3):0.00537499 (3,4):0.00134375 (4,5):0.000335937 (5,6):8.39842e-05 (6,1):0.00134375
(4,8)	(3,4)	0.029982363	(1,2):0.0215 (2,3):0.00537499 (3,4):0.00134375 (4,5):0.000335937 (5,6):8.39842e-05 (6,1):0.00134375
(4,8)	(3,5)	0.029982363	(1,2):0.0215 (2,3):0.00537499 (3,4):0.00134375 (4,5):0.000335937 (5,6):8.39842e-05 (6,1):0.00134375
(4,8)	(5,3)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(4,8)	(5,4)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(4,8)	(5,5)	0.029982363	(1,6):0.00134375 (2,1):0.0215 (3,2):0.00537499 (4,3):0.00134375 (5,4):0.000335937 (6,5):8.39842e-05
(5,0)	(0,0)	0.17989418	(1,6):0.00806248 (2,1):0.129 (3,2):0.0322499 (4,3):0.00806248 (5,4):0.00201562 (6,5):0.000503905
(5,0)	(2,1)	0.042328042	(1,4):0.016125 (2,5):0.00403124 (3,6):0.00100781 (4,1):0.016125 (5,2):0.00403124 (6,3):0.00100781
(5,0)	(2,2)	0.042328042	(1,4):0.016125 (2,5):0.00403124 (3,6):0.00100781 (4,1):0.016125 (5,2):0.00403124 (6,3):0.00100781
(5,0)	(4,1)	0.08994709	(1,2):0.0644999 (2,3):0.016125 (3,4):0.00403124 (4,5):0.00100781 (5,6):0.000251953 (6,1):0.00403124
(5,0)	(4,2)	0.08994709	(1,2):0.0644999 (2,3):0.016125 (3,4):0.00403124 (4,5):0.00100781 (5,6):0.000251953 (6,1):0.00403124
(5,1)	(1,1)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,1)	(1,2)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,1)	(1,3)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,1)	(3,1)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,1)	(3,2)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,1)	(3,3)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,1)	(5,1)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,1)	(5,2)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,1)	(5,3)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,2)	(1,1)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,2)	(1,2)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,2)	(1,3)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,2)	(3,1)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,2)	(3,2)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,2)	(3,3)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,2)	(5,1)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,2)	(5,2)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,2)	(5,3)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,3)	(0,1)	0.17989418	(1,6):0.00806248 (2,1):0.129 (3,2):0.0322499 (4,3):0.00806248 (5,4):0.00201562 (6,5):0.000503905
(5,3)	(2,2)	0.042328042	(1,4):0.016125 (2,5):0.00403124 (3,6):0.00100781 (4,1):0.016125 (5,2):0.00403124 (6,3):0.00100781
(5,3)	(2,3)	0.042328042	(1,4):0.016125 (2,5):0.00403124 (3,6):0.00100781 (4,1):0.016125 (5,2):0.00403124 (6,3):0.00100781
(5,3)	(4,2)	0.08994709	(1,2):0.0644999 (2,3):0.016125 (3,4):0.00403124 (4,5):0.00100781 (5,6):0.000251953 (6,1):0.00403124
(5,3)	(4,3)	0.08994709	(1,2):0.0644999 (2,3):0.016125 (3,4):0.00403124 (4,5):0.00100781 (5,6):0.000251953 (6,1):0.00403124
(5,4)	(1,2)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,4)	(1,3)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,4)	(1,4)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,4)	(3,2)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,4)	(3,3)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,4)	(3,4)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,4)	(5,2)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,4)	(5,3)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,4)	(5,4)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,5)	(1,2)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,5)	(1,3)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,5)	(1,4)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,5)	(3,2)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,5)	(3,3)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,5)	(3,4)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,5)	(5,2)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,5)	(5,3)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,5)	(5,4)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,6)	(0,2)	0.17989418	(1,6):0.00806248 (2,1):0.129 (3,2):0.0322499 (4,3):0.00806248 (5,4):0.00201562 (6,5):0.000503905
(5,6)	(2,3)	0.042328042	(1,4):0.016125 (2,5):0.00403124 (3,6):0.00100781 (4,1):0.016125 (5,2):0.00403124 (6,3):0.00100781
(5,6)	(2,4)	0.042328042	(1,4):0.016125 (2,5):0.00403124 (3,6):0.00100781 (4,1):0.016125 (5,2):0.00403124 (6,3):0.00100781
(5,6)	(4,3)	0.08994709	(1,2):0.0644999 (2,3):0.016125 (3,4):0.00403124 (4,5):0.00100781 (5,6):0.000251953 (6,1):0.00403124
(5,6)	(4,4)	0.08994709	(1,2):0.0644999 (2,3):0.016125 (3,4):0.00403124 (4,5):0.00100781 (5,6):0.000251953 (6,1):0.00403124
(5,7)	(1,3)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,7)	(1,4)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,7)	(1,5)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,7)	(3,3)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,7)	(3,4)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,7)	(3,5)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,7)	(5,3)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,7)	(5,4)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,7)	(5,5)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,8)	(1,3)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,8)	(1,4)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,8)	(1,5)	0.017636684	(1,5):0.00268749 (2,6):0.000671874 (3,1):0.01075 (4,2):0.00268749 (5,3):0.000671874 (6,4):0.000167968
(5,8)	(3,3)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,8)	(3,4)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,8)	(3,5)	0.017636684	(1,3):0.01075 (2,4):0.00268749 (3,5):0.000671874 (4,6):0.000167968 (5,1):0.00268749 (6,2):0.000671874
(5,8)	(5,3)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,8)	(5,4)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
(5,8)	(5,5)	0.057319224	(1,1):0.0429999 (2,2):0.01075 (3,3):0.00268749 (4,4):0.000671874 (5,5):0.000167968 (6,6):4.19921e-05
