label;inftype;chi;L0_re;L0_im;L1_re;L1_im;L2_re;L2_im
p17a;(2,1);[0, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.64298090110472724155027922745529470019776792728837;0.24446621292937673117396502495233425697853131421654
p17a;(2,1);[1, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.85493509338885743229829553544110928387169721835891;0.56848251381142875095217649031124384932111948335962
p17a;(2,1);[2, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.20603601040193104802257220589115384961998249844341;-0.23487601174184751933549703230360322454332634978945
p17a;(2,1);[3, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.53262982414227154370096030832144096840520039846724;-0.54166360376511708304166115380206591384700408876560
p17a;(1,2);[0, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.64298090110472724155027922745529470019776792728837;-0.24446621292937673117396502495233425697853131421654
p17a;(1,2);[1, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.53262982414227154370096030832144096840520039846724;0.54166360376511708304166115380206591384700408876560
p17a;(1,2);[2, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.20603601040193104802257220589115384961998249844341;0.23487601174184751933549703230360322454332634978945
p17a;(1,2);[3, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.85493509338885743229829553544110928387169721835891;-0.56848251381142875095217649031124384932111948335962
p17a;(3,0);[0, -3, -3/2]~;2.63307105634151623004808373545449698941496731531825;2.25821232501908969629432488502450347054138031829079;1.31221955207175882331296506809159195936501669906229;0.70673171078739927363063439102726546352745566320909
p17a;(3,0);[1, -3, -3/2]~;1.97524445237490959018009335182472511336364956284666;4.39075992383523537894915081786594322848580828008149;1.65904312841608722792478581221799697191810049620105;1.44780238621311951259700626733928811741519696614145
p17a;(3,0);[2, -3, -3/2]~;-1.76705810687140800794583882040395891755878187603416;-3.30180326512617922172369654854224267020790983635846;0.42456449676617202859808182935740547861300616154071;-1.35401636789860853129748346304529442089199724618944
p17a;(3,0);[3, -3, -3/2]~;-1.98811520371758922835876820968223811247687985356785;1.06989826608888674943215164312372696674113834776645;0.02758139603721756075732639860177807586391794717550;0.08992240307033708018034764131595193659126464865063
p17a;(0,3);[0, 3, -3/2]~;2.63307105634151623004808373545449698941496731531825;-2.25821232501908969629432488502450347054138031829079;1.31221955207175882331296506809159195936501669906229;-0.70673171078739927363063439102726546352745566320909
p17a;(0,3);[1, 3, -3/2]~;-1.98811520371758922835876820968223811247687985356785;-1.06989826608888674943215164312372696674113834776645;0.02758139603721756075732639860177807586391794717550;-0.08992240307033708018034764131595193659126464865063
p17a;(0,3);[2, 3, -3/2]~;-1.76705810687140800794583882040395891755878187603416;3.30180326512617922172369654854224267020790983635846;0.42456449676617202859808182935740547861300616154071;1.35401636789860853129748346304529442089199724618944
p17a;(0,3);[3, 3, -3/2]~;1.97524445237490959018009335182472511336364956284666;-4.39075992383523537894915081786594322848580828008149;1.65904312841608722792478581221799697191810049620105;-1.44780238621311951259700626733928811741519696614145
p17b;(1,0);[0, -1, -1/2]~;0.64298090110472724155027922745529470019776792728837;-0.24446621292937673117396502495233425697853131421654;0.78443602451107935365582433130987907916745599031341;-0.13676828904784021798356448423371252816354830673145
p17b;(1,0);[1, -1, -1/2]~;0.53262982414227154370096030832144096840520039846724;0.54166360376511708304166115380206591384700408876560;0.80708137714871223760701932007042860713108122299433;0.33725706228990956714914653395075252027322221881152
p17b;(1,0);[2, -1, -1/2]~;1.20603601040193104802257220589115384961998249844341;0.23487601174184751933549703230360322454332634978945;1.26839722043150853072893803462133899140148129837349;0.15147472858187536596056343024932592371295073208703
p17b;(1,0);[3, -1, -1/2]~;0.85493509338885743229829553544110928387169721835891;-0.56848251381142875095217649031124384932111948335962;1.04137362273818127930341318768216364414888938359748;-0.36227381910309058663466761744118113167998213680336
p17b;(2,0);[0, -2, -1]~;1.38596734066845504419280050484808254170175226013345;1.36246555538361302616150194719401344394795285486636;1.33215164587290644428145320968764623584836850161182;0.64675524399931223061573479139208224912374197436683
p17b;(2,0);[1, -2, -1]~;1.63001033549197359955263151801825786248451751233790;-1.17585190152797326549647554351086252135894230998180;1.42219774568105551100625854921785497011602708504091;-0.56796248746720356870313200436579773990550107852001
p17b;(2,0);[2, -2, -1]~;-0.19483667038216475674759424108489756825389745092479;0.55078638916972413244890193826106341749097929219353;0.44393639876673294744337812897390267395471248892423;0.03290830967182236819117612411860703380735097083047
p17b;(2,0);[3, -2, -1]~;1.11234020837682007398528178225013248899699519238435;-0.28040966913621831856980717572182371231698916324478;0.87405954495708935220602494322711237401498077636746;-0.00171835289919967511824582271622927939398042722141
p17b;(1,1);[0, 0, -1]~;-0.25000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000
p17b;(1,1);[1, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.65362232723783574910648686944372525946947265383231;-0.25110895068210199393790116889945972106510994858596
p17b;(1,1);[2, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.55839954151569709239457472080545941406836608461140;0.00000000000000000000000000000000000000000000000000
p17b;(1,1);[3, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.65362232723783574910648686944372525946947265383231;0.25110895068210199393790116889945972106510994858596
p17b;(0,1);[0, 1, -1/2]~;0.64298090110472724155027922745529470019776792728837;0.24446621292937673117396502495233425697853131421654;0.78443602451107935365582433130987907916745599031341;0.13676828904784021798356448423371252816354830673145
p17b;(0,1);[1, 1, -1/2]~;0.85493509338885743229829553544110928387169721835891;0.56848251381142875095217649031124384932111948335962;1.04137362273818127930341318768216364414888938359748;0.36227381910309058663466761744118113167998213680336
p17b;(0,1);[2, 1, -1/2]~;1.20603601040193104802257220589115384961998249844341;-0.23487601174184751933549703230360322454332634978945;1.26839722043150853072893803462133899140148129837349;-0.15147472858187536596056343024932592371295073208703
p17b;(0,1);[3, 1, -1/2]~;0.53262982414227154370096030832144096840520039846724;-0.54166360376511708304166115380206591384700408876560;0.80708137714871223760701932007042860713108122299433;-0.33725706228990956714914653395075252027322221881152
p17b;(0,2);[0, 2, -1]~;1.38596734066845504419280050484808254170175226013345;-1.36246555538361302616150194719401344394795285486636;1.33215164587290644428145320968764623584836850161182;-0.64675524399931223061573479139208224912374197436683
p17b;(0,2);[1, 2, -1]~;1.11234020837682007398528178225013248899699519238435;0.28040966913621831856980717572182371231698916324478;0.87405954495708935220602494322711237401498077636746;0.00171835289919967511824582271622927939398042722141
p17b;(0,2);[2, 2, -1]~;-0.19483667038216475674759424108489756825389745092479;-0.55078638916972413244890193826106341749097929219353;0.44393639876673294744337812897390267395471248892423;-0.03290830967182236819117612411860703380735097083047
p17b;(0,2);[3, 2, -1]~;1.63001033549197359955263151801825786248451751233790;1.17585190152797326549647554351086252135894230998180;1.42219774568105551100625854921785497011602708504091;0.56796248746720356870313200436579773990550107852001
p17b;(-1,0);[0, 1, 1/2]~;0.78443602451107935365582433130987907916745599031341;0.13676828904784021798356448423371252816354830673145;0.86735325965309009482147033303840686829106939443746;0.06544053051534260610990630004962915284266856488522
p17b;(-1,0);[1, 1, 1/2]~;1.04137362273818127930341318768216364414888938359748;0.36227381910309058663466761744118113167998213680336;1.04615654546377591325768319887871069153467414340230;0.17982290452273994903365361009717392712393033058819
p17b;(-1,0);[2, 1, 1/2]~;1.26839722043150853072893803462133899140148129837349;-0.15147472858187536596056343024932592371295073208703;1.15865624254143581649216551065948548764168090252926;-0.07576094108251080126504134044194496338508388541303
p17b;(-1,0);[3, 1, 1/2]~;0.80708137714871223760701932007042860713108122299433;-0.33725706228990956714914653395075252027322221881152;0.91683927021088719403090719499662502309142122999568;-0.16773792090135467456548974284007759787471801377843
p17b;(1,-1);[0, -2, 0]~;1.33215164587290644428145320968764623584836850161182;0.64675524399931223061573479139208224912374197436683;1.17773378848831058635532758888315881924667961107450;0.25690130519021858982506020914318733657895046504652
p17b;(1,-1);[1, -2, 0]~;1.42219774568105551100625854921785497011602708504091;-0.56796248746720356870313200436579773990550107852001;1.20064838876281205360289762924785138881710460158093;-0.23468293312308212579437455545976820044215635520379
p17b;(1,-1);[2, -2, 0]~;0.44393639876673294744337812897390267395471248892423;0.03290830967182236819117612411860703380735097083047;0.76942992853001817736062312866904953125271530713317;-0.08311810427666737222234874097696956379801668673389
p17b;(1,-1);[3, -2, 0]~;0.87405954495708935220602494322711237401498077636746;-0.00171835289919967511824582271622927939398042722141;0.86728954010441173605500072504978059253105301137078;0.07723202146847773113351554054778870041003741898556
p17b;(2,1);[0, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.64298090110472724155027922745529470019776792728837;-0.24446621292937673117396502495233425697853131421654
p17b;(2,1);[1, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.53262982414227154370096030832144096840520039846724;0.54166360376511708304166115380206591384700408876560
p17b;(2,1);[2, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.20603601040193104802257220589115384961998249844341;0.23487601174184751933549703230360322454332634978945
p17b;(2,1);[3, -1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.85493509338885743229829553544110928387169721835891;-0.56848251381142875095217649031124384932111948335962
p17b;(1,2);[0, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.64298090110472724155027922745529470019776792728837;0.24446621292937673117396502495233425697853131421654
p17b;(1,2);[1, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.85493509338885743229829553544110928387169721835891;0.56848251381142875095217649031124384932111948335962
p17b;(1,2);[2, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.20603601040193104802257220589115384961998249844341;-0.23487601174184751933549703230360322454332634978945
p17b;(1,2);[3, 1, -3/2]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.53262982414227154370096030832144096840520039846724;-0.54166360376511708304166115380206591384700408876560
p17b;(3,0);[0, -3, -3/2]~;2.63307105634151623004808373545449698941496731531825;-2.25821232501908969629432488502450347054138031829079;1.31221955207175882331296506809159195936501669906229;-0.70673171078739927363063439102726546352745566320909
p17b;(3,0);[1, -3, -3/2]~;-1.98811520371758922835876820968223811247687985356785;-1.06989826608888674943215164312372696674113834776645;0.02758139603721756075732639860177807586391794717550;-0.08992240307033708018034764131595193659126464865063
p17b;(3,0);[2, -3, -3/2]~;-1.76705810687140800794583882040395891755878187603416;3.30180326512617922172369654854224267020790983635846;0.42456449676617202859808182935740547861300616154071;1.35401636789860853129748346304529442089199724618944
p17b;(3,0);[3, -3, -3/2]~;1.97524445237490959018009335182472511336364956284666;-4.39075992383523537894915081786594322848580828008149;1.65904312841608722792478581221799697191810049620105;-1.44780238621311951259700626733928811741519696614145
p17b;(0,3);[0, 3, -3/2]~;2.63307105634151623004808373545449698941496731531825;2.25821232501908969629432488502450347054138031829079;1.31221955207175882331296506809159195936501669906229;0.70673171078739927363063439102726546352745566320909
p17b;(0,3);[1, 3, -3/2]~;1.97524445237490959018009335182472511336364956284666;4.39075992383523537894915081786594322848580828008149;1.65904312841608722792478581221799697191810049620105;1.44780238621311951259700626733928811741519696614145
p17b;(0,3);[2, 3, -3/2]~;-1.76705810687140800794583882040395891755878187603416;-3.30180326512617922172369654854224267020790983635846;0.42456449676617202859808182935740547861300616154071;-1.35401636789860853129748346304529442089199724618944
p17b;(0,3);[3, 3, -3/2]~;-1.98811520371758922835876820968223811247687985356785;1.06989826608888674943215164312372696674113834776645;0.02758139603721756075732639860177807586391794717550;0.08992240307033708018034764131595193659126464865063
(5);(1,0);[0, -1, -1/2]~;0.41252303869963421541768558030791080365840457025960;0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;0.13038786173698411822564656945273515557348346864268
(5);(1,0);[1, -1, -1/2]~;0.41252303869963421541768558030791080365840457025960;-0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;-0.13038786173698411822564656945273515557348346864268
(5);(1,0);[2, -1, -1/2]~;1.18447246332791222503024190200298687480201158838165;-0.66038665030640488493473087919078975318222205947915;1.21206559551319817948154722484069492497979788034360;-0.34826199343038197512116494473154991334907827620963
(5);(1,0);[3, -1, -1/2]~;1.18447246332791222503024190200298687480201158838165;0.66038665030640488493473087919078975318222205947915;1.21206559551319817948154722484069492497979788034360;0.34826199343038197512116494473154991334907827620963
(5);(2,0);[0, -2, -1]~;0.55674763846861735119365853088099603829422186345804;-0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;-0.33570849540608321979457919686150827689535574149504
(5);(2,0);[1, -2, -1]~;2.92699555141807530962578532040927200967163034736272;0.00000000000000000000000000000000000000000000000000;1.83908554428500626187153691905943537966553458877915;0.00000000000000000000000000000000000000000000000000
(5);(2,0);[2, -2, -1]~;0.55674763846861735119365853088099603829422186345804;0.34408896372984398024189934038897350835115565227315;0.85607167685404896463408404526754534245030761944796;0.33570849540608321979457919686150827689535574149504
(5);(2,0);[3, -2, -1]~;1.30899220456205947137256402889613871153800896943447;0.00000000000000000000000000000000000000000000000000;0.82246405869169477385282459774533364861027519733991;0.00000000000000000000000000000000000000000000000000
(5);(1,1);[0, 0, -1]~;-0.25000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000
(5);(1,1);[1, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.70725989604447802770039978864956481873447768587828;0.32832707140348739184669392896490505410971475502159
(5);(1,1);[2, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.60470861377111478337634126539784173807255168068350;0.00000000000000000000000000000000000000000000000000
(5);(1,1);[3, 0, -1]~;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.70725989604447802770039978864956481873447768587828;-0.32832707140348739184669392896490505410971475502159
(5);(0,1);[0, 1, -1/2]~;0.41252303869963421541768558030791080365840457025960;-0.11718915039593348648403944293729983553515502080228;0.71357292546965472555818988473366987290804584790438;-0.13038786173698411822564656945273515557348346864268
(5);(0,1);[1, 1, -1/2]~;1.18447246332791222503024190200298687480201158838165;-0.66038665030640488493473087919078975318222205947915;1.21206559551319817948154722484069492497979788034360;-0.34826199343038197512116494473154991334907827620963
